BinarySearch,BubbleSort,Fibonacci,HeapSort,LinearSearch,MergeSort,NQueen24,NQueen27,PrimeNumber,SelectionSort,ShellSort
0.040255821,7.598566112,7.278716351,0.015803968,5.82666212,0.014315969,0.426623921,0.500070483,0.546287548,4.137777986,0.006928676
0.030113072,7.672159668,7.259742736,0.015417321,5.913437831,0.016284195,0.327689048,0.506436282,0.470891979,4.247456984,0.008933067
0.026578046,7.637448078,7.348212968,0.025114825,5.825801179,0.011099672,0.323214262,0.505428201,0.511715255,4.257462339,0.008264863
0.025674353,7.651308656,7.180464488,0.021225861,5.818331429,0.013566715,0.334554802,0.515408616,0.503328865,4.254903992,0.008619724
0.035614045,7.776647103,6.904457422,0.020401106,6.169492866,0.010587463,0.318900173,0.499348734,0.528649606,4.258037332,0.010931137
0.026030671,8.030102749,6.452424565,0.016127863,5.88563136,0.008827611,0.337660332,0.529560066,0.535826377,4.234232095,0.016946217
0.025528209,8.697831623,6.285656685,0.0169479,5.81627549,0.010011751,0.326709432,0.496175883,0.49266619,4.294973706,0.01201526
0.024297714,8.754029562,6.367192646,0.01723383,5.761102511,0.00880273,0.329306876,0.510042225,0.474228155,4.231366858,0.011888414
0.034952842,8.859788212,6.346113522,0.017307228,5.535962043,0.010272144,0.325493807,0.500376376,0.477238901,4.224474317,0.00919229
0.026371539,8.789317606,6.419844502,0.019624404,5.433630692,0.014194667,0.308128123,0.509597503,0.47440943,4.219569654,0.008221361
0.026883411,9.557948824,6.435182351,0.020373693,5.249295451,0.013343443,0.330056548,0.508950282,0.461853381,4.234162135,0.008821399
0.037715712,8.563296974,6.736964336,0.013553624,5.108342771,0.011377921,0.357720802,0.503778252,0.46630002,4.210572721,0.007077708
0.036728857,8.032918603,7.367435049,0.017293948,5.055732188,0.011657855,0.328511006,0.507225569,0.468944687,4.057596534,0.008493436
0.032084905,7.601641213,7.283807736,0.016692145,5.04516198,0.011260228,0.328217792,0.504841826,0.470064724,3.932212364,0.008145787
