BinarySearch,BubbleSort,Fibonacci,HeapSort,LinearSearch,MergeSort,NQueen24,NQueen27,PrimeNumber,SelectionSort,ShellSort
0.023681419,9.483025084,6.62578402,0.01815419,3.356167526,0.074006078,0.3898388,0.557902136,1.143590294,7.966340272,0.020266173
0.032053678,9.737782313,6.487619967,0.014522643,3.354621526,0.073641849,0.373740718,0.54450925,1.047535311,8.073159573,0.024794621
0.009150256,10.29469497,5.882594268,0.023956927,3.377050535,0.074552649,0.379994251,0.549923593,1.128809989,7.975986375,0.027930894
0.026320782,10.5806941,5.929287554,0.018540495,3.383607779,0.063202874,0.377318652,0.542823237,1.041998666,7.750742109,0.027658578
0.025907406,10.74578737,5.921002923,0.016594855,3.409664817,0.083673699,0.379370971,0.547551492,1.03719509,7.718092339,0.031967791
0.039274494,9.960787952,5.862868979,0.018966185,3.452408951,0.06390979,0.340961928,0.550815213,1.036377636,7.223592718,0.020814496
0.028656332,9.107007585,5.906871217,0.03026356,3.452559798,0.091689498,0.362330362,0.541302662,1.037945495,7.030260274,0.010350023
0.00967799,9.102509182,5.95961028,0.021130991,3.527522298,0.071195544,0.299962356,0.546029642,1.034721805,6.982302474,0.012233468
0.02896425,9.108290917,6.166590972,0.016468241,3.619824098,0.072892125,0.337150408,0.543264753,1.036966767,6.945709225,0.011276925
0.011132414,9.218407539,6.665719211,0.01849872,3.598456123,0.072219489,0.36457062,0.547796712,1.039516525,7.066372356,0.009808595
0.028173002,9.427302275,6.910434265,0.016482913,3.568686612,0.071622416,0.363177982,0.549780574,1.042012495,7.062519199,0.011583624
0.035873593,10.24899757,6.781326316,0.024617606,3.604497806,0.076134053,0.388419465,0.550959679,1.034182099,7.278785253,0.019154677
0.01573019,10.63668148,6.74930056,0.020663711,3.731326451,0.071268961,0.294605655,0.543765128,1.038142909,7.825803512,0.01571922
0.02774445,10.46677479,6.884164844,0.019889,3.83858022,0.075194406,0.365379183,0.547558486,1.035902791,8.089829306,0.011800992
0.024476924,10.34966448,6.896801232,0.015616104,3.902975044,0.072524687,0.37117927,0.542757906,1.034710115,7.987400881,0.014553374
0.023748416,9.39038386,6.474013629,0.0214417,3.880911615,0.070238816,0.375062238,0.547680384,1.040804869,8.079198093,0.009935398
0.011610098,9.051910188,5.975044778,0.02042551,3.882578075,0.074204457,0.303446388,0.547840505,1.043025933,7.881396353,0.014111299
0.038696237,9.102224141,5.820313865,0.019340999,3.866038425,0.073580201,0.360770374,0.548243923,1.032072139,7.512514805,0.007761094
0.029508075,9.23200233,5.832293966,0.014746444,4.20111899,0.072839746,0.375797846,0.548388444,1.026365897,6.924395271,0.009960189
0.025322325,9.313579197,5.863171877,0.025108482,3.960972685,0.074428139,0.371127713,0.544444419,1.032155602,6.889682764,0.010981359
0.017558548,10.04510516,5.861038958,0.019359062,3.897981311,0.069638731,0.36283425,0.548524368,1.034483745,7.702619772,0.011290371
0.023609038,10.4752825,5.912005593,0.017316807,3.747123981,0.073047307,0.353877423,0.553894141,1.029533662,6.976787125,0.009790922
0.035008327,10.47845547,6.027283516,0.016213576,4.684215964,0.064867356,0.381056288,0.550689963,1.032903448,7.015456672,0.012332673
0.013988322,10.07868119,6.017721424,0.016380563,3.51765608,0.075325888,0.290909012,0.548256676,1.034805123,7.312943867,0.009313113
0.025231729,9.457189702,6.334802426,0.021313455,3.432623739,0.072915213,0.36397049,0.554210778,1.028790154,7.142839365,0.021126599
0.025835631,9.082117698,6.686860451,0.021154246,3.35928065,0.076828525,0.365285011,0.546210036,1.033599675,7.859548716,0.014443523
0.016153054,9.11147009,6.719365021,0.017029283,3.372392023,0.073726602,0.34655533,0.546490409,1.032353446,7.968655613,0.013279324
0.03234596,9.650448994,6.74705279,0.017760939,3.368671768,0.065655341,0.363753421,0.55155095,1.029227873,7.95197116,0.014829535
0.021229972,9.590018465,6.614593667,0.015806362,3.378148323,0.073632136,0.380061472,0.547682368,1.037079381,7.957942236,0.00944871
0.026872677,10.35371277,6.707245399,0.027227948,3.37332591,0.075474594,0.344395937,0.553051111,1.029067118,7.917681821,0.011014402
0.02371541,10.5564856,6.579303585,0.017997535,3.381127603,0.068679639,0.366764393,0.550927132,1.032628625,7.416900246,0.011807817
0.017188994,10.46367977,6.05359242,0.016335602,3.476553303,0.081442975,0.363526769,0.452600561,1.04556662,7.000842656,0.011804555
